address,price,gross_tax,strata_maintenance_fees,bedrooms,bathrooms,property_type,property_age,title,style,heating_type,feature,amenities,appliances,community,days_on_rew,property_views,mls®_number,source,frontage,lot_size,year_built,depth
3735 Puget Drive,"$5,498,800","$19,041",,3,4,house,,freehold nonstrata,2 storey w/bsmt.,,,"golf course nearby, recreation nearby",,arbutus,13 days,1491,r2735110,rebgv,57.00 feet,57 ft x 122 ft (6954 ft²),built in 1987 (35 yrs old),122
3735 Puget Drive,"$5,498,800","$19,041",,3,4,house,,freehold nonstrata,2 storey w/bsmt.,,,"golf course nearby, recreation nearby",,arbutus,13 days,1491,r2735110,rebgv,57.00 feet,57 ft x 122 ft (6954 ft²),built in 1987 (35 yrs old),122
302 5118 Cambie Street,"$2,367,900",$0,$925,3,3,apt/condo,,freehold strata,1 storey,"forced air,heat pump","elevator, oven - built in","air conditioning, central air conditioning, recreation nearby, shopping nearby","in suite laundry, microwave, range top, washer/dryer/fridge/stove/dishwasher",cambie,109 days,592,r2712600,rebgv,,,built in 2022 (0 yrs old),
438 W 17th Avenue,"$3,888,000","$10,064",,8,4,multifamily,,freehold nonstrata,,,,,,cambie,61 days,1129,r2722725,rebgv,49.70 feet,49 ft x 137 ft (6807 ft²),built in 1930 (92 yrs old),137.5
2505 1151 W Georgia Street,"$2,470,000","$5,658","$1,215",2,2,apt/condo,,freehold strata,upper unit,"forced air,heat pump",elevator,"central air conditioning, exercise room, recreation nearby, shopping nearby",in suite laundry,coal harbour,57 days,789,r2724260,rebgv,,,built in 2016 (6 yrs old),
601 535 Nicola Street,"$1,748,000","$5,281","$1,257",3,2,apt/condo,,freehold strata,1 storey,"baseboard,electric","elevator, fireplace insert, garage door opener, garden, pantry, smoke alarm","bike room, exercise room, marina nearby, recreation nearby, sauna, shopping nearby, storage","dishwasher, in suite laundry, microwave, range top, refrigerator, washer/dryer/fridge/stove/dishwasher",coal harbour,102 days,1321,r2713484,rebgv,,,built in 1997 (25 yrs old),
709 1351 Continental Street,"$1,250,000","$2,269",$713,2,2,apt/condo,,freehold strata,"corner unit,end unit","forced air,heat pump","drapes/window coverings, elevator, garden, smoke alarm, sprinkler - fire","air conditioning, bike room, central air conditioning, exercise room, marina nearby, recreation nearby, sauna, shopping nearby, storage","disposal - waste, in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",downtown west,4 days,66,r2736575,rebgv,,,built in 2014 (8 yrs old),
3735 Puget Drive,"$5,498,800","$19,041",,3,4,house,,freehold nonstrata,2 storey w/bsmt.,,,"golf course nearby, recreation nearby",,arbutus,13 days,1491,r2735110,rebgv,57.00 feet,57 ft x 122 ft (6954 ft²),built in 1987 (35 yrs old),122
3735 Puget Drive,"$5,498,800","$19,041",,3,4,house,,freehold nonstrata,2 storey w/bsmt.,,,"golf course nearby, recreation nearby",,arbutus,13 days,1491,r2735110,rebgv,57.00 feet,57 ft x 122 ft (6954 ft²),built in 1987 (35 yrs old),122
302 5118 Cambie Street,"$2,367,900",$0,$925,3,3,apt/condo,,freehold strata,1 storey,"forced air,heat pump","elevator, oven - built in","air conditioning, central air conditioning, recreation nearby, shopping nearby","in suite laundry, microwave, range top, washer/dryer/fridge/stove/dishwasher",cambie,109 days,592,r2712600,rebgv,,,built in 2022 (0 yrs old),
